houseid;person;age;weight;sex;ur;provinceid;exmd
461211001;1;38;56,5;Female;Urban;46;0,5231271
461211001;2;48;67,1;Male;Urban;46;0,5689451
461211003;1;44;65,1;Male;Urban;46;1,0687778
461211003;2;43;52,5;Female;Urban;46;1,3235232
461211004;1;53;57,7;Male;Urban;46;0,5700269
461211004;2;49;49,8;Female;Urban;46;0,594021
461211005;1;40;56,1;Female;Urban;46;0,7731823
461211005;2;46;71,4;Male;Urban;46;0,7696376
461211005;4;36;65,2;Male;Urban;46;0,8546492
461211005;5;33;63,5;Female;Urban;46;0,7826272
461211006;1;57;70,5;Male;Urban;46;0,5597702
461211006;2;50;71,5;Female;Urban;46;0,5051983
461211006;3;25;64,9;Female;Urban;46;0,4113182
461211007;2;34;53,3;Female;Urban;46;0,9148597
461211008;1;39;73,4;Male;Urban;46;0,6200341
461211008;2;41;65;Female;Urban;46;0,6006692
461211009;1;34;78,2;Male;Urban;46;0,378375
461211009;2;31;57;Female;Urban;46;0,5679957
461211009;3;61;75,4;Female;Urban;46;0,4361936
461211010;1;32;64,5;Male;Urban;46;1,0718605
461211010;2;30;63,3;Female;Urban;46;0,7670498
461211011;1;43;67,66258;Male;Urban;46;0,8668233
461211011;2;34;55,5;Female;Urban;46;1,660627
461211012;1;45;73,5;Male;Urban;46;0,592381
461211012;2;45;56;Female;Urban;46;0,6359431
461211013;1;61;71,7;Male;Urban;46;0,4645895
461211013;2;54;64,4;Female;Urban;46;0,5240609
461211014;1;54;68,2;Female;Urban;46;0,4070132
461211014;2;31;76,1;Male;Urban;46;0,4078759
461211014;3;26;56,2;Female;Urban;46;0,5690198
461211015;1;43;65,1;Female;Urban;46;0,6853318
461211015;2;43;78;Male;Urban;46;0,8963545
461211016;1;40;47,9;Male;Urban;46;0,6077926
461211016;2;39;54,5;Female;Urban;46;0,5789948
461211017;1;56;59;Male;Urban;46;0,419611
461211017;2;47;38,5;Female;Urban;46;0,9704381
461211021;1;42;67;Male;Urban;46;1,1496425
461211021;2;41;46,7;Female;Urban;46;1,5651338
461211021;4;64;48,6;Female;Urban;46;1,3020942
461211023;1;49;74,8;Male;Urban;46;0,5331088
461211023;2;45;66,7;Female;Urban;46;1,1668575
461211024;1;39;50,6;Male;Urban;46;1,0420879
461211024;2;32;53,1;Female;Urban;46;1,1033796
461211026;1;42;58,39959;Female;Urban;46;1,1039747
461211026;2;40;60,8;Male;Urban;46;1,1930732
461211027;1;42;51,6;Female;Urban;46;0,7146145
461211027;2;50;63,5;Male;Urban;46;0,548218
461211028;1;45;72,4;Male;Urban;46;0,5504189
461211028;2;44;51;Female;Urban;46;0,8400555
461211030;1;39;73,8;Male;Urban;46;0,6006205
461211030;2;39;75,4;Female;Urban;46;0,5292467
461211031;1;55;86;Male;Urban;46;0,8499113
461211031;2;54;53,1;Female;Urban;46;0,5825116
461211031;4;28;63,2;Female;Urban;46;0,4786926
461211032;1;33;59,8;Male;Urban;46;1,1623318
461211032;2;30;53;Female;Urban;46;0,8366812
461211032;4;30;51,1;Female;Urban;46;1,0056018
461211033;1;44;68,6;Male;Urban;46;0,516756
461211033;2;39;61,1;Female;Urban;46;0,4834358
461211034;1;44;97;Male;Urban;46;0,3987794
461211034;2;39;48,9;Female;Urban;46;0,5362741
461211035;1;47;67,66258;Male;Urban;46;0,9531547
461211035;2;47;70,2;Female;Urban;46;0,8095748
461212001;1;35;52,55;Female;Urban;46;1,0759905
461212001;2;40;81,5;Male;Urban;46;0,7063777
461212002;1;52;65;Male;Urban;46;0,7306769
461212002;2;46;45,5;Female;Urban;46;1,1254615
461212003;1;41;60,4;Male;Urban;46;0,682798
461212003;2;31;42,3;Female;Urban;46;0,8077589
461212004;1;26;62,8;Male;Urban;46;0,5918312
461212005;1;30;58,39959;Female;Urban;46;0,5820298
461212005;2;38;67,66258;Male;Urban;46;0,5513099
461212006;1;38;67,66258;Male;Urban;46;0,6934881
461212006;2;35;42,9;Female;Urban;46;0,865265
461212007;2;62;67,66258;Male;Urban;46;0,4755509
461212007;3;33;67,66258;Male;Urban;46;0,8950498
461212007;4;29;44,9;Female;Urban;46;1,351588
461212008;2;42;74,7;Male;Urban;46;0,5777772
461212009;1;50;61,75;Female;Urban;46;0,8315514
461212010;2;56;65;Female;Urban;46;0,5828308
461212011;1;52;67,66258;Male;Urban;46;0,7152591
461212011;2;50;47,2;Female;Urban;46;0,7787765
461212012;1;31;67,66258;Male;Urban;46;0,6463824
461212012;2;29;58,39959;Female;Urban;46;0,6683314
461212013;1;45;67,66258;Male;Urban;46;0,6592122
461212013;2;44;58,39959;Female;Urban;46;0,6590166
461212014;1;62;67,66258;Male;Urban;46;0,4785104
461212014;2;57;58,39959;Female;Urban;46;0,5158114
461212014;3;32;67,66258;Male;Urban;46;0,4451644
461212015;1;52;61;Female;Urban;46;0,7522639
461212015;2;57;69,4;Male;Urban;46;0,6983975
461212016;1;50;60;Male;Urban;46;0,6168692
461212016;2;45;62,8;Female;Urban;46;0,5705515
461212017;1;29;70,1;Male;Urban;46;0,6864323
461212017;3;57;67,66258;Male;Urban;46;0,7444514
461212017;4;57;58,39959;Female;Urban;46;0,8696481
461212018;1;28;55,4;Male;Urban;46;0,6032824
461212018;4;33;61,5;Female;Urban;46;0,5347195
461212018;7;61;55,1;Female;Urban;46;0,429445
461212019;1;60;83,6;Male;Urban;46;0,3647299
461212019;2;59;70,4;Female;Urban;46;0,5445692
461212020;1;34;72,45;Male;Urban;46;0,8795542
461212020;2;34;58,39959;Female;Urban;46;0,9334728
461212020;4;39;51,2;Female;Urban;46;1,2230947
461212021;1;45;67,66258;Male;Urban;46;0,4196031
461212021;2;38;65,1;Female;Urban;46;0,3603522
461212022;1;40;44,4;Male;Urban;46;0,6994595
461212022;2;30;46,7;Female;Urban;46;0,6385385
461212023;1;56;57,1;Male;Urban;46;0,7728109
461212023;2;56;53,1;Female;Urban;46;0,900452
461212024;1;61;67,4;Female;Urban;46;0,4486736
461212024;2;34;57,1;Female;Urban;46;0,6132942
461212025;1;47;73,3;Male;Urban;46;0,4900829
461212025;2;45;51,8;Female;Urban;46;0,6768958
461212026;1;28;67,66258;Male;Urban;46;0,9207855
461212026;2;25;58,39959;Female;Urban;46;0,6429616
461212027;1;58;58,39959;Female;Urban;46;0,5389208
461212027;3;35;70;Male;Urban;46;0,6590596
461212027;4;32;51,55;Female;Urban;46;0,8035303
461212027;5;33;71,2;Male;Urban;46;0,5503361
461212027;6;29;56,3;Female;Urban;46;0,5540623
461212027;7;27;58;Male;Urban;46;0,8604126
461212028;2;48;62,9;Male;Urban;46;0,5578502
461212028;3;38;58,39959;Female;Urban;46;0,6118665
461212029;1;50;51;Male;Urban;46;0,9337775
461212029;2;45;69,6;Female;Urban;46;0,4924267
461212030;1;49;76,1;Male;Urban;46;0,6704738
461212030;2;47;59,5;Female;Urban;46;1,108446
461221001;1;31;67,66258;Male;Urban;46;0,9682426
461221001;2;34;43,3;Female;Urban;46;0,8283705
461221002;1;47;67,66258;Male;Urban;46;0,3526103
461221002;2;39;53,3;Female;Urban;46;0,4370254
461221003;1;60;41,1;Male;Urban;46;0,5845477
461221003;2;42;65,6;Female;Urban;46;0,4010884
461221004;1;45;53,7;Female;Urban;46;0,6580019
461221005;1;34;89,5;Male;Urban;46;0,3440084
461221005;2;34;46,1;Female;Urban;46;0,513396
461221006;3;34;67,66258;Male;Urban;46;0,7261244
461221006;4;28;59,1;Female;Urban;46;1,0863304
461221007;1;54;80,4;Female;Urban;46;0,527494
461221007;2;62;68;Male;Urban;46;0,6113358
461221007;3;33;67,66258;Male;Urban;46;1,0341992
461221007;4;28;76,4;Male;Urban;46;1,0055642
461221007;5;31;58,39959;Female;Urban;46;0,834517
461221008;2;47;62,9;Male;Urban;46;1,0316296
461221008;3;45;60,1;Female;Urban;46;0,8885619
461221009;1;40;75,2;Male;Urban;46;0,5692164
461221009;2;40;49,4;Female;Urban;46;0,9371356
461221010;1;52;55,9;Male;Urban;46;1,1733229
461221010;2;50;55,2;Female;Urban;46;1,0376947
461221011;1;30;88,6;Female;Urban;46;0,3961528
461221011;2;45;56,4;Male;Urban;46;1,4651348
461221012;1;40;57,1;Male;Urban;46;0,5064242
461221012;2;34;38,7;Female;Urban;46;0,7153824
461221013;1;40;59,2;Female;Urban;46;0,7647374
461221013;3;44;67,66258;Male;Urban;46;0,5349931
461221014;1;33;53,4;Female;Urban;46;1,2113776
461221015;1;50;52,1;Male;Urban;46;0,6585996
461221015;2;40;65,5;Female;Urban;46;0,6763054
461221016;1;36;57,8;Male;Urban;46;1,159791
461221016;2;37;43,7;Female;Urban;46;0,9543021
461221017;1;37;45,8;Female;Urban;46;0,5110633
461221018;1;35;56,6;Male;Urban;46;0,7977032
461221018;2;31;51,9;Female;Urban;46;0,6662746
461221019;2;31;58,39959;Female;Urban;46;0,6590746
461221020;1;52;76,5;Male;Urban;46;0,8242291
461221020;2;44;68,5;Female;Urban;46;0,7936843
461221021;1;55;57,2;Female;Urban;46;0,4816997
461221021;2;31;48,8;Male;Urban;46;0,9359836
461221021;3;28;57,6;Female;Urban;46;0,559852
461221022;1;56;75,1;Male;Urban;46;0,5564774
461221022;2;48;58,39959;Female;Urban;46;0,5297683
461221023;1;50;54,9;Female;Urban;46;0,464909
461221023;2;62;59,7;Male;Urban;46;0,6054271
461221024;3;48;47,2;Female;Urban;46;0,6138406
461221024;4;44;55,8;Female;Urban;46;0,5401886
461221025;1;38;60,3;Male;Urban;46;0,3972828
461221025;2;34;51,2;Female;Urban;46;0,5219678
461221025;5;25;45,7;Female;Urban;46;0,6604912
461221026;1;63;67,66258;Male;Urban;46;1,4693683
461221026;2;39;58,39959;Female;Urban;46;0,9242895
461221027;1;55;47,6;Male;Urban;46;0,6893818
461221027;2;54;49;Female;Urban;46;0,6532742
461221027;3;28;44,6;Male;Urban;46;0,9277502
461221028;1;34;76,3;Male;Urban;46;0,5039312
461221028;2;30;45,8;Female;Urban;46;0,724587
461221029;1;38;96,3;Male;Urban;46;0,4665571
461221029;2;30;58,39959;Female;Urban;46;0,5223012
461221029;3;61;79,1;Female;Urban;46;0,433103
461221030;1;43;69;Male;Urban;46;0,4969449
461221030;2;38;46,4;Female;Urban;46;0,6404494
461222001;1;35;53,7;Male;Urban;46;0,5551947
461222001;2;32;47,7;Female;Urban;46;0,5454472
461222002;1;37;48,4;Female;Urban;46;0,6458254
461222002;2;36;55,9;Male;Urban;46;0,6204982
461222003;1;32;58,2;Male;Urban;46;0,6044658
461222003;2;26;52,4;Female;Urban;46;0,4942794
461222004;1;40;75,6;Female;Urban;46;0,4408423
461222004;2;44;82,9;Male;Urban;46;0,3754153
461222005;3;31;67;Male;Urban;46;0,396994
461222005;5;63;40;Female;Urban;46;0,6489194
461222006;1;39;65;Male;Urban;46;1,218182
461222006;2;39;55,3;Female;Urban;46;0,9434795
461222007;1;25;58,8;Female;Urban;46;0,6622903
461222007;2;29;75,7;Male;Urban;46;0,5465569
461222008;1;30;70,8;Male;Urban;46;0,9900205
461222008;2;27;58,39959;Female;Urban;46;0,8533455
461222009;1;42;55,7;Male;Urban;46;0,9731594
461222009;2;41;49,2;Female;Urban;46;0,5967697
461222010;1;30;58,3;Male;Urban;46;0,8117685
461222010;2;29;38;Female;Urban;46;0,9191728
461222011;1;34;53,4;Female;Urban;46;1,1349539
461222011;2;39;79;Male;Urban;46;1,0294157
461222012;1;26;42,5;Female;Urban;46;0,6509769
461222013;1;36;76,6;Male;Urban;46;0,5612326
461222013;2;37;47,2;Female;Urban;46;0,8388806
461222014;1;27;45,5;Female;Urban;46;0,6261675
461222015;1;40;72;Male;Urban;46;1,0065221
461222015;2;39;58,39959;Female;Urban;46;0,8702325
461222016;1;38;75,2;Male;Urban;46;0,7113298
461222016;2;33;58,39959;Female;Urban;46;0,7892008
461222017;2;52;65,6;Female;Urban;46;0,6045389
461222018;1;41;74;Male;Urban;46;0,4578953
461222018;2;37;57,8;Female;Urban;46;0,5091955
461222019;1;42;61;Male;Urban;46;0,8070402
461222019;2;40;71,1;Female;Urban;46;0,550481
461222020;1;31;65,4;Male;Urban;46;0,5312889
461222020;2;30;53,7;Female;Urban;46;0,6055019
461222020;4;64;53,3;Female;Urban;46;0,5454763
461222021;1;61;70,5;Female;Urban;46;0,6309631
461222021;2;29;81,4;Male;Urban;46;0,4754165
461222022;1;46;68;Male;Urban;46;0,4294589
461222022;2;40;67,4;Female;Urban;46;0,8326386
461222023;1;42;62;Female;Urban;46;0,3658295
461222023;2;44;74,7;Male;Urban;46;0,4151715
461222024;1;46;50,1;Female;Urban;46;0,7528044
461222024;3;29;58,39959;Female;Urban;46;0,8340949
461222024;5;27;54;Male;Urban;46;0,6024074
461222025;1;39;67,66258;Male;Urban;46;0,6712844
461222025;2;38;58,39959;Female;Urban;46;0,7917112
461222026;1;29;39,3;Female;Urban;46;0,8145776
461222026;2;34;58,4;Male;Urban;46;0,8131268
461222026;4;61;54,8;Female;Urban;46;0,6635698
461222027;1;28;76,5;Male;Urban;46;0,5975925
461222028;1;46;63,8;Male;Urban;46;0,6306755
461222028;2;41;64,5;Female;Urban;46;0,4020143
461222029;1;47;64;Male;Urban;46;0,5721273
461222029;2;44;56;Female;Urban;46;0,6072397
461222030;2;39;58,39959;Female;Urban;46;0,9307027
461231001;3;39;67,66258;Male;Urban;46;0,4399071
461231001;4;28;58,39959;Female;Urban;46;0,6059803
461231002;1;34;82,7;Male;Urban;46;0,5016291
461231002;2;30;53,8;Female;Urban;46;0,5319446
461231004;2;40;48,1;Male;Urban;46;0,6265644
461231004;3;38;49,3;Female;Urban;46;0,6169878
461231005;1;59;54,8;Male;Urban;46;0,7438756
461231005;2;50;47,8;Female;Urban;46;0,9151283
461231005;3;32;67,66258;Male;Urban;46;0,4882323
461231005;4;28;67,66258;Male;Urban;46;0,3890629
461231006;1;52;61,7;Male;Urban;46;1,538594
461231006;2;52;55;Female;Urban;46;1,4252636
461231006;3;27;67,66258;Male;Urban;46;0,7421708
461231007;1;53;56,3;Female;Urban;46;0,917821
461231007;2;56;62,2;Male;Urban;46;1,0168474
461231007;3;26;67,66258;Male;Urban;46;1,0916137
461231008;1;58;56,3;Male;Urban;46;0,7892096
461231008;2;56;56;Female;Urban;46;0,8670625
461231008;3;30;53,7;Male;Urban;46;0,9117733
461231009;1;32;61,8;Male;Urban;46;0,7469134
461231009;2;32;52,9;Female;Urban;46;0,7153043
461231010;1;38;53,6;Male;Urban;46;1,0351114
461231010;2;36;64,6;Female;Urban;46;0,8602028
461231011;1;37;50,4;Male;Urban;46;0,7985511
461231011;2;34;46,3;Female;Urban;46;0,6547138
461231012;1;59;73,7;Female;Urban;46;0,6790163
461231013;1;63;57,4;Female;Urban;46;0,6365122
461231013;2;30;71,2;Male;Urban;46;0,4928581
461231013;3;31;44,5;Female;Urban;46;1,2192472
461231013;5;28;73,3;Male;Urban;46;0,4620604
461231013;8;34;49,5;Female;Urban;46;1,0292652
461231014;1;47;67,66258;Male;Urban;46;0,4699754
461231014;2;41;48,8;Female;Urban;46;0,6411916
461231015;1;32;51,8;Male;Urban;46;0,7342201
461231015;2;31;58,39959;Female;Urban;46;0,5752524
461231016;1;42;74,1;Male;Urban;46;0,4611073
461231016;2;40;49,3;Female;Urban;46;0,7844074
461231018;2;47;57,5;Male;Urban;46;0,7145894
461231018;3;39;67,3;Female;Urban;46;0,600211
461231019;1;34;67,66258;Male;Urban;46;0,4521185
461231019;2;32;58,39959;Female;Urban;46;0,5326653
461231020;1;50;49,7;Male;Urban;46;0,55261
461231020;2;42;54,4;Female;Urban;46;0,4611474
461231020;5;39;53,2;Female;Urban;46;0,499855
461231021;1;37;67,66258;Male;Urban;46;0,512111
461231021;2;36;58,39959;Female;Urban;46;0,5090961
461231022;1;51;66,8;Male;Urban;46;0,6755666
461231022;2;44;58,4;Female;Urban;46;0,748881
461231023;1;51;66,3;Male;Urban;46;0,97109
461231024;1;52;72,2;Male;Urban;46;0,4187992
461231024;2;47;62,8;Female;Urban;46;0,4971624
461231025;1;57;70,5;Male;Urban;46;0,525348
461231025;2;55;72,1;Female;Urban;46;0,4042584
461231025;3;27;67,66258;Male;Urban;46;0,6350371
461231025;4;32;71,6;Male;Urban;46;0,6830191
461231025;5;34;54,1;Female;Urban;46;0,4612896
461231025;7;30;86,9;Male;Urban;46;0,5440754
461231025;8;29;56,2;Female;Urban;46;0,4831949
461231026;1;45;70,8;Male;Urban;46;0,3079739
461231026;2;36;58,39959;Female;Urban;46;0,5260803
461231027;1;31;67,66258;Male;Urban;46;0,5636868
461231027;2;29;38,9;Female;Urban;46;0,6347847
461231028;1;58;50,1;Female;Urban;46;1,1704242
461231029;2;45;64,5;Male;Urban;46;0,6241132
461231029;3;42;58,39959;Female;Urban;46;1,2856733
461231030;2;31;66,6;Male;Urban;46;0,7197823
461231030;3;32;58,39959;Female;Urban;46;0,682463
461232001;2;29;68,5;Male;Urban;46;0,5642219
461232001;3;30;49,8;Female;Urban;46;0,97051
461232002;3;37;67,66258;Male;Urban;46;0,6691646
461232002;4;33;58,39959;Female;Urban;46;0,6681177
461232003;3;32;67,66258;Male;Urban;46;0,4496307
461232003;4;31;52,1;Female;Urban;46;0,5550513
461232004;1;44;74,5;Male;Urban;46;0,4524161
461232004;2;45;50,6;Female;Urban;46;0,6663391
461232005;3;49;52,75;Male;Urban;46;0,7447773
461232005;4;50;64;Female;Urban;46;0,5040781
461232006;2;49;58,75;Female;Urban;46;1,0653383
461232006;3;53;59,5;Male;Urban;46;1,1491366
461232007;1;57;54,95;Male;Urban;46;0,9176497
461232007;2;51;67;Female;Urban;46;0,8196697
461232007;3;30;67,66258;Male;Urban;46;0,7386024
461232007;4;28;67,66258;Male;Urban;46;0,5692679
461232008;2;64;48;Female;Urban;46;1,0392417
461232008;3;38;67,66258;Male;Urban;46;0,8387152
